Reference,Colour_Description,Breed_Description,Animal_Name,Gender,Suburb
20990,Red,Dobermann,AMY,Desexed Female,WATERLOO CORNER
21900,Black,German Shepherd Dog,DOMINO,Desexed Female,MACDONALD PARK
25702,Brown/Tan,Dobermann,RUFUS,Desexed Male,WATERLOO CORNER
25703,Grey/Tan,Dobermann,E T,Desexed Male,WATERLOO CORNER
26898,Blenheim,Spaniel,SAMO,Male,HILLIER
26899,Blenheim,Spaniel,ANDY,Male,HILLIER
26900,Tri-Colored,Spaniel,GIDGET,Female,HILLIER
26901,Blenheim,Spaniel,CORKY,Female,HILLIER
26938,Black,Rottweiler,SPYDA,Desexed Female,WATERLOO CORNER
27181,Blue,Australian Cattle Dog,TUPPY,Male,ANGLE VALE
32485,White,Australian Kelpie X,CHELSEA,Desexed Female,HILLBANK
59138,Blue/Roan,Australian Cattle Dog,DAPPLES,Desexed Male,ELIZABETH DOWNS
60736,Fawn,Greyhound,LADY,Desexed Female,ELIZABETH NORTH
60997,Black/White,Border Collie,RAEGAN,Female,ELIZABETH PARK
100268,Tan,Tenterfield Terrier,CONAN,Male,BLAKEVIEW
100270,Black,Terrier X,LADY,Desexed Female,WATERLOO CORNER
100568,White,Poodle X,CLOE,Desexed Female,HILLBANK
101440,Gold,Golden Retriever,GRACE,Female,CRAIGMORE
101811,Black/Grey,Australian Cattle Dog X,MAX,Male,ONE TREE HILL
101924,Black,Australian Kelpie X,SNOOP,Desexed Female,MUNNO PARA
102281,Sable/White,Collie (Rough),BRIDIE,Female,ANGLE VALE
102807,Apricot,Poodle (Toy),LEE-LA,Desexed Female,SMITHFIELD
102880,Black,Poodle (Miniature),EBONY,Female,ELIZABETH DOWNS
102891,Cream/Brown,Jack Russell Terrier,MAX,Male,HILLBANK
103228,White,Poodle,MARGIE,Desexed Female,ELIZABETH VALE
103776,Silver,Poodle,MONET,Female,ELIZABETH NORTH
103831,White/Black,Maltese X,ZORRO,Desexed Male,ONE TREE HILL
104014,Apricot,Poodle (Toy),BOBBY,Male,ELIZABETH VALE
104394,White,Maltese,SALLY,Female,ELIZABETH EAST
104550,Tri-Colored,Jack Russell Terrier,TYSON,Male,ANDREWS FARM
104785,White,Poodle,HONEY,Desexed Female,CRAIGMORE
104945,Black/Red,Chihuahua,RUSTY,Desexed Male,ELIZABETH DOWNS
105096,Blue,Australian Cattle Dog,DAYNA,Female,CRAIGMORE
105112,Brown/Tan,Papillon X,DANNY MORTON,Male,ELIZABETH PARK
105385,Tri-Colored,Maltese X,SCRUFFY,Male,ELIZABETH SOUTH
105497,White,Maltese,BONNIE,Female,DAVOREN PARK
105626,Black,Poodle (Toy),BUDDY,Desexed Male,CRAIGMORE
106230,Tan,Pomeranian X,OSCUR,Male,CRAIGMORE
106284,Russett Gold,Chihuahua X,RUSTY,Desexed Male,CRAIGMORE
106379,Black/White,Jack Russell Terrier X,JACK,Desexed Male,CRAIGMORE
106397,White/Tan,Shih Tzu,ZOE,Female,ELIZABETH NORTH
106482,White,West Highland White Terrier,LADY,Desexed Female,HILLBANK
106629,Black /Tan,Papillon,PEPE,Male,ELIZABETH PARK
106701,Black/White,Jack Russell Terrier,PLUTO,Male,ELIZABETH EAST
106902,Tri-Colored,Australian Cattle Dog,CHLOE,Female,ANGLE VALE
106964,Black /Tan,Australian Kelpie X,LUCKY,Desexed Male,BIBARINGA
107015,Brown,Staffordshire Bull Terrier X,SPROCKET,Male,ELIZABETH PARK
107082,Black/White,Bearded Collie,BUSTER,Male,ELIZABETH EAST
107309,White,Chihuahua,KOVU,Male,CRAIGMORE
107365,Chocolate Brown,Tenterfield Terrier,COCO,Female,DAVOREN PARK
107480,White,Staffordshire Bull Terrier X,COOPER,Male,ELIZABETH NORTH
107572,Black,Poodle,FIFI,Female,DAVOREN PARK
107687,Black/White,Chihuahua,CALVIN,Male,CRAIGMORE
107759,Black,Poodle,BUBBLES ANNE JONES,Desexed Female,DAVOREN PARK
107821,Tan/White,Fox Terrier (Smooth)  X,JESSE,Female,SMITHFIELD
107871,Black/White,Jack Russell Terrier,JACKIE,Desexed Female,MUNNO PARA WEST
107976,White/Tan,Jack Russell Terrier,BARNEY,Male,ELIZABETH PARK
108031,Tri-Colored,Siberian Husky,JENNA,Female,CRAIGMORE
108156,Tri-Colored,Border Collie X,BILLIE,Female,HILLBANK
108170,White/Black,Maltese X,MICKEY,Male,HILLBANK
108186,Tri-Colored,Chihuahua,TIGER,Female,DAVOREN PARK
108226,Tri-Colored,Fox Terrier (Smooth)  X,PENNY,Desexed Female,SMITHFIELD
108251,Black/White,Tenterfield Terrier,AUSSIE,Male,ELIZABETH EAST
108292,Brown,Chihuahua,SKYE,Female,ELIZABETH PARK
108308,Blue,X Breed,ZEDDICHUS,Desexed Male,YATTALUNGA
108311,Sandy,Chihuahua,TEDDY,Desexed Male,SMITHFIELD PLAINS
108350,Tan/White,Tenterfield Terrier,CUJO,Male,ELIZABETH VALE
108441,Fawn/White,Australian Cattle Dog X,BUSTER,Female,HILLBANK
108527,Black,Rottweiler,CASSIE,Desexed Female,MACDONALD PARK
108611,Black,Australian Silky Terrier,ROSEY,Desexed Female,CRAIGMORE
108698,Black/Grey,Australian Cattle Dog X,ANGUS,Male,DAVOREN PARK
108715,Black/White,Border Collie,MATILDA,Female,WATERLOO CORNER
108770,Black/White,Border Collie X,JESSIE,Desexed Female,ANDREWS FARM
108847,Tan,Australian Silky Terrier X,JAGGER,Male,MUNNO PARA WEST
108864,Brown,Fox Terrier (Smooth)  X,SAMMY,Desexed Male,ELIZABETH DOWNS
108887,Black,Chihuahua,HOLLY,Female,BLAKEVIEW
109035,Sable/White,Collie (Rough),CASSIE,Female,ANGLE VALE
109050,Blue,Australian Cattle Dog,DAMPER,Desexed Male,ELIZABETH DOWNS
109127,Tri-Colored,Chihuahua X,TAMMY,Desexed Female,DAVOREN PARK
109149,Gold,Golden Retriever,TAYLA,Female,CRAIGMORE
109186,Tan,Terrier X,SAMMY,Male,CRAIGMORE
109289,Tri-Colored,Fox Terrier (Smooth),ARMIST,Desexed Male,CRAIGMORE
109351,White,Jack Russell Terrier,SASHA,Female,ELIZABETH SOUTH
109454,Tan,Chihuahua X,DINGO,Male,ELIZABETH NORTH
109469,Tri-Colored,Maltese X,BUDDY,Desexed Male,MUNNO PARA WEST
109489,Grey,Maltese X,CHARLOTTE,Female,BLAKEVIEW
109588,Black,Chihuahua,MINNIE,Female,MUNNO PARA
109648,White,Jack Russell Terrier X,MAXWELL(MAX),Desexed Male,CRAIGMORE
109689,Black /Tan,Rottweiler X,ZAK,Male,ELIZABETH VALE
109776,Black,Australian Silky Terrier X,RUFUS-TEDDY,Desexed Male,ELIZABETH GROVE
109806,Tan,Pomeranian X,CHLOE,Female,ELIZABETH SOUTH
109861,White/Apricot,Maltese,BOBBY,Male,BLAKEVIEW
109911,Tri-Colored,Tenterfield Terrier,JACK,Male,YATTALUNGA
109958,Black /Tan,Terrier X,BANDIT,Male,SMITHFIELD PLAINS
109960,Apricot,Jack Russell Terrier X,MILO,Male,SMITHFIELD
109981,Black/White,Tenterfield Terrier,JODIE,Desexed Female,DAVOREN PARK
110018,Brown,Australian Kelpie,JAG,Male,CRAIGMORE
110041,Black,Poodle,SUKI,Desexed Male,HILLBANK
110049,Black/White,X Breed,CIDAR,Female,DAVOREN PARK
110112,Black /Tan,Chihuahua X,OSCAR,Male,ELIZABETH NORTH
110143,White,Shih Tzu X,DAISY,Female,BLAKEVIEW
110204,Tri-Colored,Shih Tzu X,COOPER,Desexed Male,ELIZABETH
110237,Black,Border Collie X,SKYE,Desexed Female,ELIZABETH SOUTH
110300,Black/White,Jack Russell Terrier,JACK,Male,ELIZABETH DOWNS
110358,White,Fox Terrier (Smooth)  X,MAX,Male,ANDREWS FARM
110440,Black /Tan,Corgi X,TAFFY,Male,CRAIGMORE
110515,Black/White,Australian Kelpie X,HARLEY,Female,ONE TREE HILL
110523,Red/Chocolate,Australian Kelpie,RUSTY,Desexed Male,DAVOREN PARK
110625,White,Poodle (Toy),ANDRE,Male,CRAIGMORE
110636,White,Labrador Retriever X,SNOWY,Female,ELIZABETH NORTH
110650,Apricot,Poodle (Toy),BELLA,Female,HILLBANK
110651,Black/White,Border Collie X,WESLEY,Male,HILLBANK
110663,Black/White,X Breed,HARRY,Male,ONE TREE HILL
110698,Black /Tan,Australian Silky Terrier,LUCY,Female,CRAIGMORE
110838,Tan/White,Shih Tzu X,MOLLY,Desexed Female,HILLBANK
110870,Tri-Colored,German Cooly,ZIGGY,Desexed Male,ELIZABETH VALE
110892,White,Jack Russell Terrier,GEM,Female,ANDREWS FARM
110914,Black/White,Australian Kelpie X,ROLY,Desexed Male,HILLBANK
110922,Black,Poodle X,MUFFY,Desexed Female,MUNNO PARA
110934,Black/White,Border Collie X,MISHA,Desexed Female,ANGLE VALE
110954,Blue/Roan,Corgi X,CASSIE,Desexed Female,ANDREWS FARM
110978,Black /Tan,Australian Terrier,POOCH,Female,MUNNO PARA WEST
110996,White/Brown,Fox Terrier (Smooth),TED,Male,HILLBANK
111042,Tan,Pomeranian X,BOOF,Desexed Male,CRAIGMORE
111063,Brown,Chihuahua,BROWNY,Desexed Female,MUNNO PARA WEST
111086,Brindle,Staffordshire Bull Terrier X,ZOE,Desexed Female,GOULD CREEK
111118,Black /Tan,Terrier X,BUSTER,Male,SMITHFIELD
111220,Red,Pomeranian X,CHLOE,Desexed Female,ELIZABETH VALE
111258,Fawn,Maltese X,MITSY,Female,CRAIGMORE
111320,White,Maltese X,JAZ,Male,ELIZABETH
111388,Brown/White,Australian Kelpie X,SARAH,Female,DAVOREN PARK
111403,Brown/Black,German Shepherd Dog X,TENY,Female,VIRGINIA
111413,Brown/White,Jack Russell Terrier,DOU DOU,Female,WATERLOO CORNER
111443,Tri-Colored,Shetland Sheepdog X,CEOADOG,Desexed Male,ANDREWS FARM
111477,Tan/Black,Australian Silky Terrier X,TEDDY,Desexed Male,BLAKEVIEW
111573,White/Tan,Shih Tzu,MILLY,Desexed Female,HILLBANK
111602,Black /Tan,Corgi X,HARLEY,Desexed Male,ELIZABETH VALE
111614,White,Maltese X,FRANK,Male,HILLBANK
111681,Black/White,Border Collie X,JAKE,Male,MUNNO PARA
111750,White/Tan,Jack Russell Terrier,FLASH,Male,ELIZABETH VALE
111751,Tri-Colored,Fox Terrier (Smooth)  X,MOLLY,Female,ELIZABETH VALE
111754,Tri-Colored,Staffordshire Bull Terrier X,JESSIE,Desexed Female,BLAKEVIEW
111776,Tan/White,Chihuahua,TOBY,Male,ELIZABETH PARK
111794,Brown/White,Terrier X,LEON,Male,ELIZABETH NORTH
111805,Tri-Colored,Shih Tzu X,WAGS,Male,ELIZABETH NORTH
111896,Brown/Silver,Australian Terrier X,TOBY,Male,ONE TREE HILL
111913,Brown,Australian Silky Terrier,CEDRICK,Male,ELIZABETH EAST
111922,Brown,Chihuahua X,SPOT,Male,ANDREWS FARM
111949,Black,Poodle (Miniature),PEPPA,Desexed Female,CRAIGMORE
111950,Brown,Poodle (Miniature),LAYLA,Female,ELIZABETH DOWNS
111964,White,Maltese X,TITI,Female,WATERLOO CORNER
112090,Black/Brown,X Breed,PADDY,Male,ELIZABETH DOWNS
112177,Black,Shetland Sheepdog,TILLIE,Female,ELIZABETH EAST
112242,Black/White,Fox Terrier (Smooth),BUSTER,Male,SMITHFIELD
112243,Red Roan,Whippet X,BUFFY,Desexed Female,MUNNO PARA WEST
112277,Brown/White,Maltese X,COOPER,Desexed Male,ELIZABETH GROVE
112305,Black /Tan,Rottweiler,ANNIE,Female,WATERLOO CORNER
112336,Grey,Australian Silky Terrier,MITZ,Desexed Female,ELIZABETH VALE
